player_id,first_name,last_name,display_name,short_name,country,country_flag,amateur,position,total,total_sort,thru,score,score_sort,current_round,player_state,tee_time,course_id,group_number,back_nine,movement_direction,movement_amount,total_strokes,official,projected,round_1,round_2,round_3,round_4
64442,Gordon,Sargent,Gordon Sargent,G. Sargent,USA,USA,False,78,+2,2.0,F,+5,5.0,4.0,COMPLETE,,669,5.0,False,DOWN,-9,286,164,166,67,69,74,76
28420,Ryan,Brehm,Ryan Brehm,R. Brehm,USA,USA,False,79,+4,4.0,F,+3,3.0,4.0,COMPLETE,,669,1.0,False,DOWN,-1,288,189,192,68,69,77,74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46435,Austin,Cook,Austin Cook,A. Cook,USA,USA,False,CUT,-2,-2.0,-,-,-2.0,2.0,COMPLETE,,669,37.0,False,CONSTANT,-,140,-,-,71,69,-,-
47917,Takumi,Kanaya,Takumi Kanaya,T. Kanaya,JPN,JPN,False,CUT,-2,-2.0,-,-,-1.0,2.0,COMPLETE,,669,37.0,False,CONSTANT,-,140,131,135,70,70,-,-
40115,Adam,Svensson,Adam Svensson,A. Svensson,CAN,CAN,False,CUT,-2,-2.0,-,-,-1.0,2.0,COMPLETE,,669,25.0,True,CONSTANT,-,140,165,169,70,70,-,-
51977,Max,Greyserman,Max Greyserman,M. Greyserman,USA,USA,False,CUT,-2,-2.0,-,-,-2.0,2.0,COMPLETE,,669,38.0,False,CONSTANT,-,140,87,91,71,69,-,-
60386,Sudarshan,Yellamaraju,Sudarshan Yellamaraju,S. Yellamaraju,CAN,CAN,False,CUT,-2,-2.0,-,-,-1.0,2.0,COMPLETE,,669,39.0,False,CONSTANT,-,140,48,48,70,70,-,-
57364,Michael,Thorbjornsen,Michael Thorbjornsen,M. Thorbjornsen,USA,USA,False,CUT,-2,-2.0,-,-,1.0,2.0,COMPLETE,,669,31.0,True,CONSTANT,-,140,73,77,68,72,-,-
51600,Jimmy,Stanger,Jimmy Stanger,J. Stanger,USA,USA,False,CUT,-2,-2.0,-,-,-3.0,2.0,COMPLETE,,669,35.0,True,CONSTANT,-,140,121,126,72,68,-,-
40026,Daniel,Berger,Daniel Berger,D. Berger,USA,USA,False,CUT,-2,-2.0,-,-,1.0,2.0,COMPLETE,,669,4.0,True,CONSTANT,-,140,50,51,68,72,-,-
29221,Webb,Simpson,Webb Simpson,W. Simpson,USA,USA,False,CUT,-2,-2.0,-,-,-1.0,2.0,COMPLETE,,669,5.0,True,CONSTANT,-,140,166,170,70,70,-,-
51696,Rico,Hoey,Rico Hoey,R. Hoey,PHI,PHI,False,CUT,-2,-2.0,-,-,1.0,2.0,COMPLETE,,669,8.0,True,CONSTANT,-,140,104,110,68,72,-,-
47988,Nick,Hardy,Nick Hardy,N. Hardy,USA,USA,False,CUT,-2,-2.0,-,-,-5.0,2.0,COMPLETE,,669,21.0,False,CONSTANT,-,140,191,194,74,66,-,-
27214,Kevin,Streelman,Kevin Streelman,K. Streelman,USA,USA,False,CUT,-2,-2.0,-,-,-1.0,2.0,COMPLETE,,669,9.0,True,CONSTANT,-,140,154,157,70,70,-,-
63454,Johnny,Keefer,Johnny Keefer,J. Keefer,USA,USA,False,CUT,-2,-2.0,-,-,-2.0,2.0,COMPLETE,,669,9.0,True,CONSTANT,-,140,83,84,71,69,-,-
63807,Neal,Shipley,Neal Shipley,N. Shipley,USA,USA,False,CUT,-2,-2.0,-,-,-3.0,2.0,COMPLETE,,669,23.0,False,CONSTANT,-,140,179,184,72,68,-,-
47393,Jeffrey,Kang,Jeffrey Kang,J. Kang,USA,USA,False,CUT,-2,-2.0,-,-,-2.0,2.0,COMPLETE,,669,24.0,False,CONSTANT,-,140,151,153,71,69,-,-
54783,Dylan,Wu,Dylan Wu,D. Wu,USA,USA,False,CUT,-1,-1.0,-,-,-2.0,2.0,COMPLETE,,669,37.0,False,CONSTANT,-,141,155,158,72,69,-,-
29535,Brice,Garnett,Brice Garnett,B. Garnett,USA,USA,False,CUT,-1,-1.0,-,-,-2.0,2.0,COMPLETE,,669,38.0,False,CONSTANT,-,141,112,118,72,69,-,-
49766,Hank,Lebioda,Hank Lebioda,H. Lebioda,USA,USA,False,CUT,-1,-1.0,-,-,-1.0,2.0,COMPLETE,,669,39.0,False,CONSTANT,-,141,130,134,71,70,-,-
49947,Taylor,Moore,Taylor Moore,T. Moore,USA,USA,False,CUT,-1,-1.0,-,-,0.0,2.0,COMPLETE,,669,27.0,True,CONSTANT,-,141,81,82,70,71,-,-
60067,Joe,Highsmith,Joe Highsmith,J. Highsmith,USA,USA,False,CUT,-1,-1.0,-,-,-4.0,2.0,COMPLETE,,669,41.0,False,CONSTANT,-,141,161,165,74,67,-,-
49120,Kensei,Hirata,Kensei Hirata,K. Hirata,JPN,JPN,False,CUT,-1,-1.0,-,-,2.0,2.0,COMPLETE,,669,45.0,False,CONSTANT,-,141,153,155,68,73,-,-
29970,Dylan,Frittelli,Dylan Frittelli,D. Frittelli,RSA,RSA,False,CUT,-1,-1.0,-,-,0.0,2.0,COMPLETE,,669,33.0,True,CONSTANT,-,141,-,-,70,71,-,-
36824,Paul,Peterson,Paul Peterson,P. Peterson,USA,USA,False,CUT,-1,-1.0,-,-,-2.0,2.0,COMPLETE,,669,46.0,False,CONSTANT,-,141,145,147,72,69,-,-
66743,Luke,Clanton,Luke Clanton,L. Clanton,USA,USA,False,CUT,-1,-1.0,-,-,1.0,2.0,COMPLETE,,669,34.0,True,CONSTANT,-,141,142,144,69,72,-,-
